Date,Time,Stretcher Pts hrly,Stretcher Pts cum,Ambulatory Pts hrly,Ambulatory Pts cum,Total Inflow hrly,Total Inflow cum,Ambulances hrly,Ambulances cum,FLS hrly,Adm. requests cum,Admissions cum,Pts.waiting for admission CUM,Total Stretcher pts,Triage hallway pts,Triage hallway pts TBS,Re-Oriented Nurse cum,Re-Oriented MD QTrack D/C,Re-Oriented MD QTrack NotD/C,Resus Pts,Totalpts in PODs except Psych,Green Pts,Green Pts TBS,Yellow PTS,Yellow Pts TBS,Orancge Pts except psych,Orange Pts TBS,Consults > 2h in PODS except IM,Consult for IM >4h in PODS,Plain films reqs > 2 h in PODs,CTs reqs > 2 h in PODs,Post POD (Family room),Stretcher Pts in Vertical,Stretcher Pts TBS in Vertical,Stretcher Pts in Vertical on Lazyboy,Vertical Pts Waiting for Results,Ambulatory Pts in Vertical,Ambulatory Pts TBS in Vertical,QTrack Patients TBS,GARAGE patient TBS,Consults > 2h in Vertical Except IM,Consult for IM >4h in Vertical,Plain films reqs > 2 hr in Vertical,CTs reqs > 2 hrs in Vertical,Psych Stretcher Pts1pt,Psych pts waiting for admission
01/02/21,17,5,70,4,45,9,115,5,30,0,12,9,12,53,1,1,1,6,0,4,41,13,1,11,0,17,0,6,1,4,7,0,7,0,5,4,8,3,,,2,1,1,2,0,0
01/02/21,16,4,65,6,41,10,106,1,25,0,12,8,13,55,2,1,1,5,1,3,42,12,2,13,1,17,0,5,1,4,7,0,8,3,4,3,13,8,,,2,2,2,1,0,0
01/02/21,15,12,61,5,35,17,96,4,24,0,12,7,14,55,2,2,1,3,1,3,42,13,1,13,1,16,1,4,1,3,4,0,8,2,3,4,10,5,,,0,2,1,1,0,0
01/02/21,14,4,49,6,30,10,79,0,20,1,10,5,15,54,1,1,1,3,0,3,40,9,0,14,2,17,0,6,1,2,1,0,9,2,4,4,8,3,,,0,2,1,1,1,1
01/02/21,13,8,45,5,24,13,69,4,20,1,10,2,17,52,0,0,1,3,0,3,39,11,0,13,0,15,2,8,1,0,2,0,9,1,1,7,4,3,,,0,3,1,2,1,1
01/02/21,12,9,37,3,19,12,56,2,16,0,9,2,17,51,0,0,1,3,0,4,39,11,1,15,0,13,0,10,0,0,0,0,6,2,0,4,4,2,,,0,1,1,2,2,1
01/02/21,21,6,84,1,68,7,152,4,42,0,18,14,13,54,0,0,3,6,0,4,42,13,1,14,2,15,0,9,2,1,0,0,7,0,4,13,10,6,,,2,0,0,0,1,0
01/02/21,23,0,87,1,71,1,158,0,43,0,22,16,15,51,1,1,3,6,0,4,42,12,1,14,2,16,0,8,2,1,2,0,4,0,4,4,7,2,,,2,0,1,0,0,0
01/02/21,9,1,20,2,9,3,29,0,10,0,6,2,14,39,0,0,1,0,0,3,31,7,1,13,0,11,1,13,0,0,0,0,2,0,0,3,2,0,,,0,0,0,1,3,1
01/02/21,8,4,19,1,7,5,26,1,10,0,6,2,14,43,0,0,1,0,0,3,32,7,1,13,0,12,1,12,0,0,0,0,5,2,1,2,4,2,,,0,0,1,1,3,1
